                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6587,                 1.9707,                 1.0421,                0.22188,                0.35465,                0.14905,                 0.0397,                 2.8034,                 2.9974,                0.98213,             0.00066468,             0.00066468,             0.00066468
                      2,                 2.7588,                 2.1463,                 1.0353,                0.40089,                0.43411,                0.29894,                0.07941,                 2.5787,                 3.3999,                0.98208,               0.001305,               0.001305,               0.001305
                      3,                 2.8381,                 2.2947,                 1.0517,                0.29401,                0.32606,                0.17753,                0.04989,                 2.7944,                 2.8725,                0.99603,              0.0019189,              0.0019189,              0.0019189
                      4,                 2.8971,                 2.3055,                 1.0647,                 0.3107,                0.39572,                0.23598,                0.06037,                  2.562,                 2.6503,                0.94764,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.8381,                 2.2416,                  1.055,                0.42064,                0.47674,                0.35527,                0.09369,                 2.5382,                 2.5906,                0.95943,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.8232,                 2.2161,                 1.0556,                0.26746,                0.32364,                 0.1559,                0.04185,                 2.9193,                 2.6178,                  1.005,              0.0018416,              0.0018416,              0.0018416
                      7,                   2.81,                 2.2555,                 1.0576,                0.36648,                0.39147,                 0.2786,                0.07319,                 2.7151,                 3.4314,                0.97535,               0.001802,               0.001802,               0.001802
                      8,                 2.7927,                 2.2185,                   1.06,                0.22281,                0.36822,                0.13841,                0.03559,                 2.7936,                 3.1099,                0.98689,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.7565,                 2.2124,                  1.055,                0.28645,                0.37016,                0.21384,                0.05308,                 2.6393,                 3.2649,                0.97301,              0.0017228,              0.0017228,              0.0017228
                     10,                  2.779,                 2.1414,                 1.0473,                0.31774,                0.35271,                0.23194,                0.05957,                  2.641,                 3.7121,                0.97035,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.7887,                 2.1559,                  1.049,                0.23473,                0.39535,                0.15726,                0.04008,                 2.7181,                 3.3602,                0.97509,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.7769,                 2.0812,                 1.0333,                0.29868,                0.41085,                 0.2205,                0.05454,                 2.5787,                 3.6186,                0.95382,               0.001604,               0.001604,               0.001604
                     13,                 2.6897,                 2.0347,                 1.0258,                0.28065,                0.39535,                0.17732,                0.04726,                 2.6828,                 3.4514,                  0.958,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.7107,                 2.0343,                 1.0315,                0.36978,                0.52519,                0.30686,                0.07814,                  2.595,                 3.3209,                0.96277,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.6899,                 2.0096,                 1.0247,                0.27468,                0.41085,                0.18206,                0.04436,                 2.7324,                  3.101,                0.96979,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.7061,                 2.0172,                 1.0285,                0.28644,                0.40686,                0.19488,                0.04801,                 2.7148,                 3.5979,                0.96083,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.7035,                 1.9397,                 1.0255,                0.29294,                 0.3589,                0.23365,                0.05374,                 2.6295,                 3.8802,                0.95839,               0.001406,               0.001406,               0.001406
                     18,                 2.6617,                 1.9997,                 1.0274,                0.27607,                0.42829,                0.20116,                0.05148,                 2.6395,                 4.0964,                  0.952,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.6719,                 1.9652,                 1.0277,                0.29582,                 0.4031,                0.23335,                0.05918,                 2.6608,                 3.1141,                0.95777,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.6535,                 1.9288,                 1.0395,                0.24562,                0.44961,                0.16337,                0.04354,                  2.626,                 3.3662,                0.94305,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.6353,                 1.9009,                 1.0295,                 0.2113,                0.36293,                0.15295,                0.03857,                 2.6487,                 3.3216,                0.94796,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.6398,                 1.8708,                 1.0224,                0.24107,                 0.3876,                0.16636,                0.04332,                 2.6523,                 2.9929,                0.94631,               0.001208,               0.001208,               0.001208
                     23,                 2.6178,                  1.873,                 1.0145,                0.21507,                0.38953,                0.13821,                0.03329,                   2.78,                 3.7545,                0.95435,              0.0011684,              0.0011684,              0.0011684
                     24,                 2.5935,                 1.8382,                 1.0141,                  0.221,                0.44369,                0.19305,                0.04975,                 2.6509,                 4.6228,                0.95582,              0.0011288,              0.0011288,              0.0011288
                     25,                 2.5704,                  1.774,                 1.0003,                0.28006,                0.44186,                0.21604,                 0.0576,                 2.6431,                 3.6758,                0.94864,              0.0010892,              0.0010892,              0.0010892
                     26,                 2.6075,                 1.8008,                  1.007,                0.28262,                0.41085,                0.22592,                0.05671,                  2.613,                 5.0556,                0.95819,              0.0010496,              0.0010496,              0.0010496
                     27,                 2.6134,                 1.8037,                 1.0128,                0.29352,                0.41386,                0.24729,                0.06151,                 2.6356,                  4.113,                0.96489,                0.00101,                0.00101,                0.00101
                     28,                   2.58,                 1.7473,                 1.0046,                0.26241,                0.36059,                  0.178,                0.04729,                 2.6433,                 3.2003,                0.94618,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.5659,                 1.7262,                0.99473,                 0.3146,                0.26775,                0.18017,                0.04699,                 2.7626,                 3.2275,                 0.9654,              0.0009308,              0.0009308,              0.0009308
                     30,                 2.5553,                 1.7448,                 1.0075,                0.35804,                0.35078,                0.24486,                0.06314,                 2.6603,                 3.1047,                 0.9589,              0.0008912,              0.0008912,              0.0008912
                     31,                 2.5405,                 1.7281,                0.99946,                0.21986,                0.38372,                0.18274,                0.04588,                 2.7546,                 3.7344,                0.96492,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.5197,                 1.6907,                0.99998,                 0.2921,                0.34109,                0.20375,                0.05081,                 2.6766,                 4.4883,                0.96428,               0.000812,               0.000812,               0.000812
                     33,                 2.4861,                 1.6414,                0.98827,                0.23568,                0.34302,                0.17086,                0.04409,                 2.7542,                 3.6369,                0.97162,              0.0007724,              0.0007724,              0.0007724
                     34,                 2.5119,                 1.6546,                  1.005,                 0.3856,                0.36123,                0.24306,                 0.0616,                 2.6331,                 3.1349,                0.95138,              0.0007328,              0.0007328,              0.0007328
                     35,                  2.484,                 1.6469,                0.99434,                0.32037,                0.32171,                0.21417,                  0.051,                 2.6625,                 3.9985,                0.95161,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.4744,                 1.5912,                0.99495,                0.27074,                0.28295,                0.16905,                0.03912,                 2.7823,                 3.1682,                 0.9592,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.4527,                 1.5944,                 0.9936,                0.23344,                0.38953,                0.18466,                0.04686,                 2.7377,                 3.6273,                0.95901,               0.000614,               0.000614,               0.000614
                     38,                 2.4226,                 1.5876,                0.98436,                0.35361,                0.33915,                0.22856,                0.05718,                 2.7083,                 3.5604,                0.95884,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.4636,                 1.5641,                0.99776,                0.34177,                0.34302,                0.22856,                0.05468,                 2.7051,                 3.4081,                0.95954,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.4424,                 1.5508,                0.98322,                0.34836,                0.32013,                0.21683,                0.05317,                 2.7659,                 3.6008,                0.97179,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.3285,                 1.4202,                 1.0156,                0.39448,                0.33333,                0.21514,                0.05128,                 2.8073,                   3.56,                0.98006,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.3085,                 1.3813,                 1.0102,                0.38433,                0.28876,                0.19333,                0.04576,                 2.7874,                 3.5542,                0.96882,               0.000416,               0.000416,               0.000416
                     43,                  2.293,                 1.3528,                 1.0052,                0.34172,                0.30814,                0.17609,                0.04319,                   2.81,                   3.29,                0.96441,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.2779,                 1.3345,                 1.0067,                0.34001,                0.31783,                 0.1871,                0.04596,                 2.8414,                 3.6619,                0.97648,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.2718,                 1.3224,                 1.0083,                0.33314,                0.28682,                 0.1615,                0.03837,                 2.9455,                 3.3971,                 0.9929,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.2531,                 1.2824,                0.99948,                0.32432,                0.28876,                0.18746,                0.04447,                  2.817,                 3.3935,                0.96982,              0.0002576,              0.0002576,              0.0002576
                     47,                 2.2359,                 1.2674,                0.99793,                0.27269,                 0.2907,                0.15335,                0.03604,                 2.9207,                 3.8362,                0.99314,               0.000218,               0.000218,               0.000218
                     48,                  2.232,                 1.2612,                0.99177,                0.34107,                0.26744,                0.16289,                0.03652,                 2.8997,                 3.7421,                0.98351,              0.0001784,              0.0001784,              0.0001784
                     49,                 2.2137,                 1.2309,                0.99254,                0.30234,                0.28682,                0.16101,                0.03916,                 2.9289,                 4.0296,                0.99176,              0.0001388,              0.0001388,              0.0001388
                     50,                 2.2246,                 1.2482,                0.98994,                  0.298,                0.27519,                0.15015,                0.03695,                  2.968,                 3.7216,                 0.9971,               9.92e-05,               9.92e-05,               9.92e-05
